Date,Close/Last,Volume,Open,High,Low
11/10/2023,$30.50,892594,$30.20,$30.6199,$30.10
11/09/2023,$30.06,790126,$30.44,$30.69,$30.00
11/08/2023,$30.27,1128581,$30.49,$30.84,$30.22
11/07/2023,$30.30,717330,$30.60,$30.91,$30.29
11/06/2023,$30.60,876540,$31.15,$31.265,$30.43
11/03/2023,$31.13,849473,$30.45,$31.18,$30.45
11/02/2023,$30.09,1309796,$30.08,$30.47,$29.42
11/01/2023,$30.89,751223,$30.47,$30.93,$30.34
10/31/2023,$30.46,915306,$30.42,$30.59,$29.98
10/30/2023,$30.29,1065580,$30.34,$30.71,$30.16
10/27/2023,$30.24,861604,$30.29,$30.67,$30.11
10/26/2023,$30.18,1171381,$30.70,$30.8376,$30.12
10/25/2023,$30.99,1037326,$30.61,$31.11,$30.44
10/24/2023,$30.62,779555,$30.67,$31.14,$30.57
10/23/2023,$30.60,945221,$30.18,$30.82,$30.09
10/20/2023,$30.20,1029880,$30.40,$30.65,$30.11
10/19/2023,$30.34,1058116,$30.61,$30.94,$30.12
10/18/2023,$30.93,728306,$30.83,$31.26,$30.61
10/17/2023,$30.78,1073745,$31.01,$31.20,$30.575
10/16/2023,$30.87,1724378,$29.52,$31.09,$29.52
10/13/2023,$29.42,736319,$29.52,$29.60,$29.19
10/12/2023,$29.39,1155675,$29.36,$29.76,$29.01
10/11/2023,$29.34,735191,$29.45,$29.66,$28.9216
10/10/2023,$29.55,549840,$29.58,$29.88,$29.40
10/09/2023,$29.47,648445,$29.28,$29.49,$28.94
10/06/2023,$29.38,691679,$29.11,$29.41,$28.885
10/05/2023,$29.12,994719,$29.79,$29.88,$28.745
10/04/2023,$29.91,1993162,$29.82,$30.28,$29.56
10/03/2023,$29.84,1127435,$29.61,$29.99,$29.57
10/02/2023,$29.81,1073192,$29.57,$29.91,$29.4217
09/29/2023,$29.64,677772,$29.79,$29.865,$29.41
09/28/2023,$29.70,695885,$29.54,$29.73,$29.32
09/27/2023,$29.51,857751,$29.92,$29.97,$29.11
09/26/2023,$29.75,998232,$29.62,$29.805,$29.36
09/25/2023,$29.65,528335,$29.43,$29.785,$29.38
09/22/2023,$29.51,664229,$29.30,$29.65,$29.175
09/21/2023,$29.28,587935,$29.20,$29.39,$28.98
09/20/2023,$29.29,1086347,$29.18,$29.785,$29.03
09/19/2023,$29.05,1001295,$28.28,$29.115,$28.25
09/18/2023,$28.28,637519,$28.35,$28.435,$28.02
09/15/2023,$28.34,2222874,$28.55,$28.69,$28.09
09/14/2023,$28.50,872393,$28.00,$28.50,$27.93
09/13/2023,$28.06,942782,$29.01,$29.01,$27.91
09/12/2023,$28.96,745884,$29.14,$29.31,$28.81
09/11/2023,$29.19,796784,$29.09,$29.36,$28.96
09/08/2023,$29.00,715575,$29.47,$29.52,$28.965
09/07/2023,$29.47,754139,$29.66,$29.825,$29.39
09/06/2023,$29.65,758100,$29.64,$30.02,$29.51
09/05/2023,$29.74,1238130,$30.07,$30.26,$29.72
09/01/2023,$30.23,872556,$30.10,$30.465,$29.98
08/31/2023,$30.04,1465084,$30.84,$31.06,$30.01
08/30/2023,$30.74,3064655,$29.74,$31.75,$28.6006
08/29/2023,$33.33,1736574,$33.83,$33.87,$33.12
08/28/2023,$33.90,944539,$33.65,$33.90,$33.625
08/25/2023,$33.64,790635,$33.81,$34.09,$33.48
08/24/2023,$33.81,639615,$33.85,$34.38,$33.79
08/23/2023,$33.92,555531,$33.79,$34.005,$33.79
08/22/2023,$33.78,613846,$33.96,$34.15,$33.72
08/21/2023,$34.00,978780,$34.18,$34.505,$33.84
08/18/2023,$34.19,1843400,$33.50,$34.53,$33.43
08/17/2023,$33.57,740391,$33.345,$33.6375,$33.29
08/16/2023,$33.47,688467,$33.70,$34.14,$33.33
08/15/2023,$33.83,758285,$34.41,$34.46,$33.47
08/14/2023,$34.31,917044,$33.67,$34.42,$33.53
08/11/2023,$33.56,826729,$33.01,$33.63,$32.96
08/10/2023,$33.10,495232,$33.49,$33.61,$32.96
08/09/2023,$33.37,677083,$33.15,$33.46,$32.99
08/08/2023,$33.22,514762,$33.44,$33.56,$32.92
08/07/2023,$33.57,675021,$33.40,$33.59,$32.875
08/04/2023,$33.30,689352,$32.95,$33.63,$32.74
08/03/2023,$33.02,545290,$33.05,$33.36,$32.90
08/02/2023,$33.10,515946,$32.90,$33.255,$32.6922
08/01/2023,$33.08,905623,$32.96,$33.45,$32.89
07/31/2023,$32.89,790525,$32.68,$33.0174,$32.61
07/28/2023,$32.54,681930,$32.67,$32.755,$32.29
07/27/2023,$32.38,900272,$32.48,$32.7639,$32.145
07/26/2023,$32.22,806707,$32.35,$32.68,$32.04
07/25/2023,$32.44,710777,$32.19,$32.75,$32.19
07/24/2023,$32.37,512274,$32.18,$32.425,$31.98
07/21/2023,$32.21,564310,$32.49,$32.67,$32.19
07/20/2023,$32.36,548852,$32.30,$32.475,$32.03
07/19/2023,$32.46,838699,$32.51,$32.79,$32.16
07/18/2023,$32.51,647392,$32.30,$32.61,$32.30
07/17/2023,$32.53,1065381,$31.94,$32.63,$31.78
07/14/2023,$32.07,887515,$32.96,$33.00,$32.02
07/13/2023,$32.82,500671,$32.63,$32.85,$32.53
07/12/2023,$32.61,598275,$33.00,$33.00,$32.565
07/11/2023,$32.76,457025,$32.48,$32.81,$32.28
07/10/2023,$32.30,682724,$31.93,$32.53,$31.90
07/07/2023,$32.03,596282,$32.11,$32.25,$31.935
07/06/2023,$32.10,624870,$32.04,$32.34,$31.73
07/05/2023,$32.17,692936,$32.34,$32.50,$32.08
07/03/2023,$32.49,571779,$33.06,$33.07,$32.35
06/30/2023,$33.26,740009,$33.29,$33.475,$32.94
06/29/2023,$33.12,1270971,$32.55,$33.34,$32.35
06/28/2023,$32.42,1164156,$32.27,$32.55,$32.11
06/27/2023,$32.27,872141,$31.52,$32.28,$31.39
06/26/2023,$31.57,1372849,$31.27,$31.845,$31.16
06/23/2023,$31.14,2896250,$31.20,$31.74,$30.945
06/22/2023,$31.26,2097131,$32.48,$32.97,$31.17
06/21/2023,$32.41,4664928,$31.75,$32.818,$30.72
06/20/2023,$28.26,874981,$28.41,$29.13,$28.10
06/16/2023,$28.50,1359180,$27.81,$28.59,$27.79
06/15/2023,$27.92,429325,$27.25,$27.92,$27.24
06/14/2023,$27.14,434774,$27.72,$27.935,$27.04
06/13/2023,$27.67,691996,$27.68,$28.00,$27.64
06/12/2023,$27.64,545087,$27.55,$27.95,$27.33
06/09/2023,$27.55,483062,$27.56,$27.7088,$27.3806
06/08/2023,$27.63,563785,$27.32,$27.64,$26.96
06/07/2023,$27.55,622382,$27.28,$27.59,$27.19
06/06/2023,$27.17,506771,$26.88,$27.21,$26.88
06/05/2023,$26.86,408051,$26.85,$27.02,$26.72
06/02/2023,$27.03,526770,$26.56,$27.05,$26.545
06/01/2023,$26.27,388513,$26.28,$26.49,$26.00
05/31/2023,$26.19,536040,$25.99,$26.315,$25.60
05/30/2023,$26.08,404552,$26.49,$26.49,$26.03
05/26/2023,$26.50,503089,$26.16,$26.61,$26.05
05/25/2023,$26.20,520778,$26.42,$26.53,$26.09
05/24/2023,$26.57,601129,$26.71,$26.81,$26.49
05/23/2023,$26.90,594448,$27.04,$27.42,$26.875
05/22/2023,$27.13,494902,$27.04,$27.34,$26.65
05/19/2023,$26.99,1126193,$27.51,$27.58,$26.84
05/18/2023,$27.28,525104,$27.07,$27.30,$26.87
05/17/2023,$27.02,572462,$26.85,$27.19,$26.655
05/16/2023,$26.75,946970,$26.88,$27.13,$26.66
05/15/2023,$27.05,679095,$26.65,$27.13,$26.62
05/12/2023,$26.58,582398,$26.57,$26.625,$26.31
05/11/2023,$26.46,459082,$26.18,$26.50,$26.10
05/10/2023,$26.30,564783,$26.38,$26.44,$25.99
05/09/2023,$26.05,804888,$26.16,$26.22,$25.81
05/08/2023,$26.24,1048808,$26.58,$26.60,$26.00
05/05/2023,$26.60,834109,$26.39,$26.78,$26.17
05/04/2023,$26.02,801166,$26.53,$26.6696,$26.00
05/03/2023,$26.74,744095,$26.78,$27.045,$26.69
05/02/2023,$26.57,670750,$27.24,$27.24,$26.325
05/01/2023,$27.30,397480,$27.16,$27.56,$27.03
04/28/2023,$27.11,908737,$27.13,$27.41,$27.02
04/27/2023,$27.11,748328,$26.34,$27.11,$26.34
04/26/2023,$26.37,978219,$26.50,$26.66,$26.29
04/25/2023,$26.61,529275,$27.13,$27.38,$26.60
04/24/2023,$27.29,538329,$27.47,$27.58,$27.20
04/21/2023,$27.42,579795,$27.21,$27.60,$27.09
04/20/2023,$27.07,958706,$26.33,$27.175,$26.33
04/19/2023,$26.70,878772,$26.53,$26.80,$26.44
04/18/2023,$26.59,969113,$26.93,$27.13,$26.58
04/17/2023,$26.87,728113,$26.54,$26.94,$26.46
04/14/2023,$26.56,815155,$26.87,$26.94,$26.525
04/13/2023,$26.77,739949,$26.82,$26.94,$26.61
04/12/2023,$26.68,942579,$27.15,$27.39,$26.65
04/11/2023,$27.18,912547,$26.59,$27.30,$26.59
04/10/2023,$26.44,634561,$26.37,$26.63,$26.34
