Date,Close/Last,Volume,Open,High,Low
11/10/2023,$28.40,1257156,$28.22,$28.52,$27.64
11/09/2023,$28.09,2222734,$29.13,$29.13,$27.795
11/08/2023,$29.03,1691530,$29.63,$29.85,$28.77
11/07/2023,$29.62,3362289,$26.94,$30.22,$26.89
11/06/2023,$28.47,2806233,$28.75,$29.12,$28.40
11/03/2023,$28.75,1261109,$28.30,$28.91,$28.21
11/02/2023,$27.84,1430075,$28.17,$28.53,$27.60
11/01/2023,$28.04,1910827,$27.57,$28.26,$27.43
10/31/2023,$27.64,1838581,$27.24,$27.66,$26.84
10/30/2023,$27.11,1442002,$27.39,$27.44,$26.81
10/27/2023,$26.98,2031725,$28.46,$28.50,$26.90
10/26/2023,$28.56,1240681,$29.11,$29.19,$28.55
10/25/2023,$29.21,980944,$29.12,$29.32,$28.81
10/24/2023,$29.28,995191,$29.12,$29.40,$29.10
10/23/2023,$29.09,1339291,$29.70,$29.725,$28.991
10/20/2023,$29.83,1410456,$29.72,$30.09,$29.37
10/19/2023,$29.66,1509972,$30.03,$30.16,$29.51
10/18/2023,$30.08,2706961,$30.64,$30.82,$30.06
10/17/2023,$30.87,1366489,$30.10,$31.035,$30.10
10/16/2023,$30.32,1080045,$29.59,$30.415,$29.53
10/13/2023,$29.37,1226850,$29.31,$29.625,$29.03
10/12/2023,$29.33,1544464,$30.35,$30.35,$29.115
10/11/2023,$30.42,847675,$30.47,$30.66,$30.24
10/10/2023,$30.50,1119541,$30.20,$30.79,$30.05
10/09/2023,$30.10,991454,$30.20,$30.56,$29.71
10/06/2023,$30.46,1313583,$30.61,$30.83,$30.25
10/05/2023,$30.83,1498258,$30.28,$30.90,$30.28
10/04/2023,$30.16,2727187,$30.79,$30.95,$29.82
10/03/2023,$30.79,1053592,$31.21,$31.34,$30.78
10/02/2023,$31.36,1234662,$31.95,$31.95,$31.12
09/29/2023,$31.95,1223890,$31.88,$32.19,$31.70
09/28/2023,$31.75,1531696,$31.54,$31.82,$31.25
09/27/2023,$31.49,1565237,$31.55,$31.895,$30.90
09/26/2023,$31.47,1349292,$31.98,$32.14,$31.40
09/25/2023,$32.19,923812,$32.19,$32.28,$31.95
09/22/2023,$32.25,1197368,$32.68,$32.78,$32.15
09/21/2023,$32.68,1250774,$33.30,$33.48,$32.61
09/20/2023,$33.37,915007,$33.67,$34.49,$33.35
09/19/2023,$33.54,812560,$33.97,$33.97,$33.41
09/18/2023,$33.91,1335466,$33.59,$34.04,$33.41
09/15/2023,$33.54,1751080,$33.53,$33.79,$33.38
