Date,Close/Last,Volume,Open,High,Low
11/10/2023,$76.48,676473,$75.44,$76.75,$74.81
11/09/2023,$75.94,770419,$78.20,$78.66,$75.64
11/08/2023,$77.36,805129,$76.76,$78.905,$76.38
11/07/2023,$76.73,597714,$75.66,$77.14,$75.35
11/06/2023,$75.73,940047,$77.05,$77.05,$75.422
11/03/2023,$77.20,859838,$76.52,$77.98,$75.67
11/02/2023,$74.64,690610,$74.13,$75.00,$74.09
11/01/2023,$72.97,878184,$73.55,$74.08,$71.32
10/31/2023,$74.35,604111,$73.05,$74.41,$72.69
10/30/2023,$74.17,975526,$73.32,$74.31,$72.52
10/27/2023,$72.31,841342,$75.24,$75.42,$72.05
10/26/2023,$75.00,655591,$74.98,$76.10,$74.10
10/25/2023,$74.98,920840,$75.53,$76.24,$74.5401
10/24/2023,$76.20,1211048,$76.35,$77.1999,$75.18
10/23/2023,$73.57,856847,$72.23,$74.135,$71.54
10/20/2023,$72.86,608138,$74.17,$74.30,$72.82
10/19/2023,$73.92,633552,$74.80,$75.46,$73.405
10/18/2023,$74.86,797202,$75.61,$76.12,$74.625
10/17/2023,$76.68,1142924,$72.49,$76.96,$71.95
10/16/2023,$72.90,687942,$70.89,$73.00,$70.80
10/13/2023,$70.19,753223,$71.075,$71.415,$70.1275
10/12/2023,$71.45,986840,$74.24,$74.55,$71.19
10/11/2023,$74.20,560110,$73.70,$74.91,$73.16
10/10/2023,$73.49,893983,$74.98,$75.72,$73.39
10/09/2023,$74.50,1005686,$73.00,$74.99,$72.675
10/06/2023,$73.74,972274,$70.83,$74.17,$69.27
10/05/2023,$71.63,644783,$72.46,$73.13,$71.32
10/04/2023,$72.64,683037,$71.54,$73.14,$71.11
10/03/2023,$71.49,1001435,$74.05,$74.65,$71.03
10/02/2023,$75.22,835807,$76.26,$76.97,$75.03
09/29/2023,$76.51,464277,$76.83,$77.45,$76.05
09/28/2023,$75.17,514164,$73.73,$75.58,$73.73
09/27/2023,$73.52,660755,$73.92,$74.23,$72.70
09/26/2023,$73.70,632209,$75.50,$75.83,$73.685
09/25/2023,$76.17,1139704,$74.73,$76.54,$74.27
09/22/2023,$75.36,439654,$76.31,$76.35,$75.26
09/21/2023,$75.74,635185,$76.75,$76.83,$75.55
