Date,Close/Last,Volume,Open,High,Low
11/10/2023,$32.34,1645004,$32.60,$32.83,$31.93
11/09/2023,$32.56,1304989,$33.62,$33.62,$32.47
11/08/2023,$33.53,2096872,$33.27,$33.6975,$32.82
11/07/2023,$33.28,1650555,$33.32,$33.685,$33.08
11/06/2023,$33.56,2352102,$34.88,$34.99,$33.24
11/03/2023,$34.62,2907505,$33.73,$35.045,$33.73
11/02/2023,$33.08,3504542,$33.90,$33.91,$31.60
11/01/2023,$30.44,2973002,$31.09,$31.13,$29.92
10/31/2023,$30.79,3284928,$31.48,$31.5612,$30.515
10/30/2023,$31.49,1762758,$31.37,$31.80,$31.00
10/27/2023,$30.88,2232667,$30.89,$31.02,$30.47
10/26/2023,$30.81,2631494,$30.94,$31.69,$30.62
10/25/2023,$30.81,3447516,$30.16,$30.945,$30.08
10/24/2023,$30.27,4076253,$29.50,$30.79,$29.25
10/23/2023,$28.58,1481173,$28.71,$28.98,$28.50
10/20/2023,$29.05,1469589,$28.98,$29.375,$28.90
10/19/2023,$29.03,1440569,$29.18,$29.89,$28.95
10/18/2023,$29.40,1099505,$29.53,$29.795,$29.245
10/17/2023,$29.97,1087987,$29.71,$30.60,$29.58
10/16/2023,$29.97,1877747,$29.81,$30.235,$29.35
10/13/2023,$29.55,1506585,$29.87,$29.9799,$29.32
10/12/2023,$29.73,2144583,$31.08,$31.115,$29.495
10/11/2023,$30.97,1748386,$31.28,$31.75,$30.66
10/10/2023,$31.19,1804175,$30.68,$31.80,$30.16
10/09/2023,$30.46,1667590,$29.60,$30.58,$29.33
10/06/2023,$29.89,2126118,$30.49,$30.60,$29.69
10/05/2023,$30.64,1672975,$31.87,$31.96,$30.42
10/04/2023,$31.90,1696487,$31.88,$31.985,$31.18
10/03/2023,$31.45,1578210,$32.36,$32.63,$31.30
10/02/2023,$32.84,2022185,$32.59,$33.04,$32.305
09/29/2023,$32.86,1274646,$32.78,$33.29,$32.605
09/28/2023,$32.52,1349777,$31.94,$32.63,$31.57
09/27/2023,$31.74,908564,$32.15,$32.15,$31.443
09/26/2023,$32.03,1321026,$32.35,$32.72,$31.99
09/25/2023,$32.53,1930647,$32.36,$32.95,$32.16
09/22/2023,$31.41,1799795,$31.90,$31.925,$31.255
09/21/2023,$31.85,1679382,$32.92,$32.97,$31.84
09/20/2023,$33.14,1881466,$33.93,$34.005,$33.07
09/19/2023,$33.73,1315716,$34.30,$34.43,$33.68
09/18/2023,$34.43,1286451,$35.01,$35.17,$34.08
09/15/2023,$35.11,3078957,$35.46,$35.645,$34.89
09/14/2023,$35.41,2110696,$34.90,$35.4867,$34.90
09/13/2023,$34.36,1569492,$34.43,$34.46,$33.8601
09/12/2023,$33.93,1255700,$33.58,$34.035,$33.48
09/11/2023,$33.68,1992463,$34.20,$34.395,$33.59
09/08/2023,$33.96,1588379,$33.65,$34.02,$33.45
09/07/2023,$33.61,3522284,$35.07,$35.349,$33.465
