Date,Close/Last,Volume,Open,High,Low
11/10/2023,$31.02,967689,$30.89,$31.11,$30.05
11/09/2023,$30.60,1455149,$32.74,$32.74,$30.27
11/08/2023,$32.23,930377,$33.00,$33.22,$31.98
11/07/2023,$32.86,2065577,$34.00,$34.13,$32.72
11/06/2023,$34.24,1858251,$34.05,$34.79,$33.59
11/03/2023,$34.40,3733913,$33.90,$35.86,$33.67
11/02/2023,$32.96,3762972,$31.44,$33.33,$31.36
11/01/2023,$29.33,1824484,$29.29,$29.91,$28.55
10/31/2023,$29.29,1826377,$30.25,$30.685,$28.58
10/30/2023,$29.67,1669255,$29.59,$30.26,$28.90
10/27/2023,$29.25,1351440,$30.85,$30.85,$29.055
10/26/2023,$29.91,1687416,$29.64,$30.37,$29.11
10/25/2023,$29.31,2745943,$31.10,$31.355,$29.30
10/24/2023,$31.54,1679182,$31.50,$32.18,$30.79
10/23/2023,$30.96,2025086,$31.74,$32.09,$30.865
10/20/2023,$32.20,2475840,$31.63,$32.50,$31.26
10/19/2023,$31.76,4186684,$34.50,$34.87,$31.66
10/18/2023,$35.33,1646585,$35.37,$35.92,$34.95
10/17/2023,$36.27,1607894,$35.21,$37.36,$35.21
10/16/2023,$35.77,1447840,$35.00,$36.17,$34.11
10/13/2023,$34.37,1288668,$35.30,$35.30,$34.06
10/12/2023,$34.93,1510004,$35.17,$35.17,$34.03
10/11/2023,$35.36,1495519,$35.24,$36.70,$34.75
10/10/2023,$34.54,1215220,$34.40,$35.12,$34.33
10/09/2023,$34.65,953092,$32.66,$34.75,$32.66
10/06/2023,$33.70,1801167,$33.83,$34.15,$31.87
10/05/2023,$34.45,1336409,$35.34,$35.57,$34.23
10/04/2023,$35.16,1258331,$34.87,$35.32,$33.84
10/03/2023,$34.37,2259460,$35.77,$35.84,$33.85
10/02/2023,$36.04,1527806,$37.18,$37.54,$35.45
09/29/2023,$37.30,2044989,$37.31,$37.51,$36.29
09/28/2023,$36.78,1859681,$35.28,$37.07,$35.267
09/27/2023,$35.42,1866019,$35.42,$36.37,$34.51
09/26/2023,$35.06,3111998,$35.61,$36.21,$34.60
09/25/2023,$36.57,2104598,$36.20,$36.84,$35.64
09/22/2023,$36.89,2998454,$37.82,$37.97,$36.2501
09/21/2023,$37.44,4289385,$40.54,$40.94,$37.28
09/20/2023,$41.47,1925933,$41.79,$43.1656,$41.22
09/19/2023,$40.94,1460547,$40.83,$42.075,$40.55
09/18/2023,$40.78,1118538,$40.99,$41.06,$40.08
09/15/2023,$41.33,3179659,$40.03,$41.345,$39.68
09/14/2023,$40.42,1911285,$40.44,$41.23,$40.13
09/13/2023,$39.41,2316766,$40.92,$41.18,$38.84
09/12/2023,$40.92,1419397,$40.53,$41.46,$40.07
09/11/2023,$40.56,1524991,$41.20,$41.28,$40.0406
09/08/2023,$40.40,1065339,$39.16,$40.40,$38.88
09/07/2023,$39.57,1508810,$38.36,$39.98,$38.03
09/06/2023,$38.82,1091209,$38.10,$38.85,$37.49
09/05/2023,$38.13,1771864,$38.46,$38.87,$38.09
09/01/2023,$39.11,868747,$39.50,$39.85,$38.95
08/31/2023,$39.26,1283665,$38.64,$39.425,$38.34
08/30/2023,$38.53,1031482,$38.77,$39.035,$38.00
08/29/2023,$38.92,1955833,$37.15,$38.96,$36.755
08/28/2023,$37.15,1351756,$35.62,$37.23,$35.51
08/25/2023,$35.32,1364039,$35.69,$36.18,$34.72
08/24/2023,$35.40,1695114,$35.06,$36.29,$35.04
08/23/2023,$35.13,1177771,$33.23,$35.16,$32.61
08/22/2023,$32.81,678492,$33.55,$33.67,$32.37
08/21/2023,$32.72,1246785,$32.32,$32.915,$31.6301
08/18/2023,$32.26,1235111,$31.59,$32.32,$31.37
08/17/2023,$31.98,1601773,$31.30,$32.669,$31.01
08/16/2023,$32.18,1283074,$32.19,$33.03,$32.1324
08/15/2023,$32.23,2366558,$32.50,$33.42,$31.77
08/14/2023,$33.95,1303663,$34.32,$34.48,$33.49
08/11/2023,$34.87,946954,$34.36,$35.3605,$34.23
08/10/2023,$34.98,1480144,$35.85,$37.25,$34.92
08/09/2023,$35.34,1513209,$37.44,$37.44,$35.265
08/08/2023,$37.43,858488,$36.99,$37.54,$36.1501
08/07/2023,$38.04,1022994,$36.84,$38.13,$36.55
08/04/2023,$36.55,1338632,$36.91,$37.60,$36.295
08/03/2023,$36.95,1455310,$36.53,$37.04,$35.40
08/02/2023,$36.74,2460729,$35.75,$36.865,$34.82
08/01/2023,$36.69,2230132,$37.58,$37.80,$35.66
07/31/2023,$37.71,1380229,$37.45,$38.3333,$37.24
07/28/2023,$37.18,1557456,$36.00,$37.37,$35.875
07/27/2023,$35.60,2752597,$37.10,$37.85,$35.39
07/26/2023,$36.73,2024651,$35.64,$37.129,$35.64
07/25/2023,$35.33,2279420,$36.20,$36.95,$35.08
07/24/2023,$36.23,2809177,$34.75,$37.14,$34.65
07/21/2023,$35.10,3172980,$35.11,$35.97,$33.76
07/20/2023,$33.61,5829005,$34.60,$34.79,$31.26
07/19/2023,$35.94,3912010,$34.53,$36.0899,$34.395
07/18/2023,$34.02,2445775,$31.71,$34.125,$31.55
07/17/2023,$31.53,1454324,$31.69,$32.205,$31.34
07/14/2023,$31.85,1591229,$32.20,$32.425,$31.69
07/13/2023,$32.31,1333397,$31.90,$32.47,$31.60
07/12/2023,$31.76,2768278,$33.34,$33.87,$31.72
07/11/2023,$32.51,3013384,$32.07,$33.34,$31.55
07/10/2023,$31.58,2631055,$31.00,$32.08,$30.22
07/07/2023,$31.47,2869464,$29.54,$32.47,$29.54
07/06/2023,$29.79,1675263,$29.53,$29.93,$28.75
07/05/2023,$30.22,2689006,$30.26,$31.60,$29.70
07/03/2023,$30.55,1171697,$29.94,$31.00,$29.94
06/30/2023,$30.05,3248555,$29.34,$30.2689,$28.04
06/29/2023,$28.88,2530111,$28.27,$29.12,$27.86
06/28/2023,$28.50,3207182,$30.72,$30.75,$28.395
06/27/2023,$30.72,6639166,$28.34,$31.35,$27.69
06/26/2023,$28.20,9690964,$24.54,$29.10,$24.50
06/23/2023,$23.55,9780108,$24.75,$25.12,$23.22
06/22/2023,$25.04,2146103,$26.00,$26.15,$24.80
06/21/2023,$26.00,1686276,$25.75,$26.39,$25.16
06/20/2023,$25.92,1719916,$26.80,$26.81,$25.72
06/16/2023,$26.58,2376930,$26.69,$27.03,$26.20
06/15/2023,$26.66,1624974,$25.85,$26.69,$25.37
06/14/2023,$26.05,2513470,$26.89,$27.57,$25.901
06/13/2023,$26.57,1879022,$26.75,$27.70,$26.42
06/12/2023,$26.75,1501517,$26.90,$27.7013,$26.58
06/09/2023,$26.90,2131984,$26.84,$27.03,$26.3508
06/08/2023,$26.85,4488155,$26.39,$27.02,$25.68
06/07/2023,$26.55,4453249,$25.52,$27.21,$25.215
06/06/2023,$24.96,2518479,$23.40,$25.13,$23.15
06/05/2023,$23.34,1092157,$23.69,$23.96,$23.12
06/02/2023,$23.77,2487908,$23.23,$24.60,$23.15
06/01/2023,$22.53,1840850,$23.24,$23.25,$22.04
05/31/2023,$23.13,2005346,$22.76,$23.3599,$22.49
