Date,Close/Last,Volume,Open,High,Low
11/10/2023,$329.28,178953,$326.81,$339.019,$321.9174
11/09/2023,$325.68,255633,$333.56,$333.56,$323.96
11/08/2023,$332.67,173314,$335.37,$339.67,$330.60
11/07/2023,$333.75,202531,$333.77,$334.33,$331.26
11/06/2023,$334.51,295065,$334.11,$336.47,$331.6539
11/03/2023,$334.64,280007,$331.01,$337.515,$329.36
11/02/2023,$327.36,302980,$317.03,$328.665,$314.51
11/01/2023,$316.92,209455,$312.03,$317.78,$310.37
10/31/2023,$311.75,320842,$311.21,$312.585,$308.04
10/30/2023,$309.54,284987,$310.40,$310.63,$303.74
10/27/2023,$306.88,175857,$309.36,$312.57,$305.455
10/26/2023,$307.86,251012,$314.30,$314.76,$307.56
10/25/2023,$315.22,191910,$319.99,$319.99,$313.66
10/24/2023,$321.51,218789,$321.03,$324.89,$321.01
10/23/2023,$322.40,216539,$324.46,$327.01,$322.18
10/20/2023,$324.47,190134,$325.33,$327.96,$324.38
10/19/2023,$323.80,236974,$326.52,$331.65,$323.12
10/18/2023,$326.85,272573,$330.32,$332.72,$326.50
10/17/2023,$330.03,312269,$328.61,$333.19,$325.10
10/16/2023,$331.60,421553,$328.68,$332.30,$322.65
10/13/2023,$325.54,550200,$311.96,$326.03,$310.41
10/12/2023,$310.75,547335,$310.75,$315.97,$308.52
10/11/2023,$310.75,287866,$315.48,$315.48,$307.32
10/10/2023,$316.12,301699,$311.98,$317.01,$310.15
10/09/2023,$310.81,483728,$311.60,$314.78,$308.57
10/06/2023,$313.46,468866,$309.42,$315.87,$305.35
10/05/2023,$311.51,229938,$313.77,$313.77,$308.41
10/04/2023,$314.87,269310,$313.78,$316.54,$311.23
10/03/2023,$312.91,294683,$310.00,$314.10,$309.19
10/02/2023,$311.90,327770,$315.16,$317.60,$309.704
09/29/2023,$318.01,311526,$320.97,$324.535,$317.33
09/28/2023,$319.37,481981,$316.40,$320.31,$316.12
09/27/2023,$315.92,751936,$322.18,$327.28,$313.795
09/26/2023,$322.07,282793,$330.62,$330.62,$321.67
09/25/2023,$331.35,292095,$327.99,$333.875,$327.67
09/22/2023,$328.87,156564,$329.27,$331.81,$326.18
09/21/2023,$328.39,166378,$334.91,$335.29,$328.035
09/20/2023,$336.62,156376,$338.92,$340.82,$335.89
09/19/2023,$336.72,191163,$336.87,$338.32,$334.49
09/18/2023,$337.46,184581,$341.59,$342.65,$337.29
09/15/2023,$342.36,420789,$340.23,$344.625,$339.62
09/14/2023,$340.12,657381,$346.90,$347.22,$339.13
09/13/2023,$344.63,277432,$346.42,$347.37,$342.295
09/12/2023,$347.84,237279,$350.52,$350.52,$347.185
09/11/2023,$351.59,267154,$351.60,$352.395,$349.19
09/08/2023,$350.01,206088,$353.08,$359.12,$347.87
09/07/2023,$353.74,260772,$356.87,$357.63,$352.67
09/06/2023,$356.65,443931,$351.86,$360.40,$350.60
09/05/2023,$352.21,326769,$363.50,$363.50,$352.04
09/01/2023,$364.69,437557,$372.72,$372.72,$359.665
08/31/2023,$369.99,550047,$378.29,$378.29,$368.67
08/30/2023,$380.86,206159,$378.12,$383.1435,$378.12
08/29/2023,$378.11,259081,$374.14,$378.63,$373.631
08/28/2023,$373.36,264277,$374.23,$376.88,$370.97
08/25/2023,$371.38,187491,$370.09,$374.07,$367.0686
08/24/2023,$369.82,245938,$372.77,$376.22,$369.12
08/23/2023,$373.56,187494,$371.97,$376.54,$370.91
08/22/2023,$370.18,155189,$373.02,$373.99,$369.60
08/21/2023,$372.08,152475,$369.81,$372.89,$368.09
08/18/2023,$368.96,259915,$366.64,$370.43,$364.415
08/17/2023,$368.08,167757,$374.33,$379.42,$368.04
08/16/2023,$372.78,299103,$375.69,$379.355,$372.77
08/15/2023,$376.99,291457,$376.77,$379.61,$375.60
08/14/2023,$377.92,338450,$374.20,$379.24,$374.20
08/11/2023,$374.49,361060,$376.40,$376.83,$372.21
08/10/2023,$377.77,283505,$384.93,$389.42,$377.77
08/09/2023,$383.07,211471,$384.91,$388.76,$381.90
08/08/2023,$385.06,230383,$386.73,$387.80,$378.48
08/07/2023,$389.83,114984,$390.85,$390.85,$387.81
08/04/2023,$388.79,344555,$389.79,$391.605,$388.01
08/03/2023,$389.82,353605,$383.39,$390.57,$383.39
08/02/2023,$387.86,462766,$387.90,$390.16,$385.10
08/01/2023,$390.01,297488,$387.76,$390.905,$386.99
07/31/2023,$391.26,215715,$394.56,$394.56,$388.90
07/28/2023,$393.45,232002,$392.94,$395.565,$388.64
07/27/2023,$388.65,261707,$391.76,$391.76,$387.9375
07/26/2023,$389.47,161103,$385.62,$389.51,$382.91
07/25/2023,$386.32,254114,$386.75,$389.245,$384.37
07/24/2023,$386.96,197653,$387.93,$388.12,$383.635
07/21/2023,$387.61,285233,$391.86,$392.605,$387.50
07/20/2023,$391.85,198119,$395.39,$397.84,$391.25
07/19/2023,$394.84,306992,$392.42,$397.03,$388.94
07/18/2023,$393.25,226745,$392.16,$395.17,$389.02
07/17/2023,$393.97,249921,$397.06,$399.62,$393.75
07/14/2023,$397.36,289953,$390.33,$397.78,$390.33
07/13/2023,$390.09,182181,$387.90,$390.78,$386.01
07/12/2023,$387.36,198888,$385.27,$388.73,$383.41
07/11/2023,$382.49,168892,$384.31,$386.20,$380.605
07/10/2023,$383.44,158179,$379.30,$384.08,$379.12
07/07/2023,$378.38,200512,$374.57,$379.82,$374.35
07/06/2023,$375.79,346398,$374.16,$379.04,$373.01
07/05/2023,$377.30,306962,$378.13,$378.62,$373.20
07/03/2023,$377.42,136137,$380.65,$380.65,$375.28
06/30/2023,$383.43,209944,$383.98,$385.6225,$379.98
06/29/2023,$379.98,249804,$379.18,$383.035,$379.18
06/28/2023,$380.50,218312,$378.67,$381.448,$377.145
06/27/2023,$378.61,229198,$374.26,$378.91,$371.135
06/26/2023,$373.68,227060,$373.00,$375.75,$369.38
06/23/2023,$372.78,311729,$371.82,$375.83,$370.09
06/22/2023,$373.06,280120,$371.63,$374.97,$370.34
06/21/2023,$370.71,197700,$367.82,$371.115,$365.585
06/20/2023,$369.13,246350,$363.23,$369.78,$363.18
06/16/2023,$367.41,628511,$371.96,$375.81,$366.68
06/15/2023,$367.57,302458,$363.73,$370.01,$362.02
06/14/2023,$362.74,383878,$364.02,$368.52,$360.765
06/13/2023,$359.18,259588,$356.01,$360.40,$356.01
06/12/2023,$355.98,343103,$348.30,$356.655,$348.115
06/09/2023,$346.15,295653,$349.71,$349.72,$344.38
06/08/2023,$349.79,279586,$350.38,$350.60,$345.41
06/07/2023,$350.79,246581,$350.65,$351.51,$346.553
06/06/2023,$352.63,253603,$353.35,$356.915,$350.23
06/05/2023,$353.55,296456,$359.39,$359.84,$353.01
06/02/2023,$356.47,701665,$360.13,$364.50,$356.05
06/01/2023,$374.19,362768,$371.00,$375.56,$367.24
05/31/2023,$371.53,1348480,$366.88,$371.89,$364.585
05/30/2023,$368.20,424976,$367.68,$369.85,$365.85
05/26/2023,$369.39,425950,$371.01,$372.39,$366.77
05/25/2023,$371.44,423062,$377.85,$379.22,$368.66
05/24/2023,$377.97,346501,$378.65,$379.27,$374.67
05/23/2023,$380.04,435987,$386.89,$387.72,$377.87
05/22/2023,$390.14,316915,$386.22,$394.865,$386.22
05/19/2023,$386.10,575188,$388.63,$389.34,$385.82
05/18/2023,$387.90,263951,$386.11,$390.065,$385.84
05/17/2023,$385.72,374881,$388.06,$388.06,$377.60
05/16/2023,$387.71,280327,$388.40,$388.40,$385.22
05/15/2023,$389.35,248027,$390.67,$390.975,$387.17
05/12/2023,$390.16,434238,$391.33,$393.675,$387.06
05/11/2023,$392.09,262549,$390.00,$393.69,$389.27
05/10/2023,$390.90,260844,$386.75,$395.20,$386.75
05/09/2023,$385.29,121537,$385.56,$387.42,$384.505
05/08/2023,$386.11,183414,$384.41,$388.01,$382.11
05/05/2023,$385.94,131482,$381.15,$386.60,$380.79
05/04/2023,$379.27,132145,$378.98,$382.42,$376.81
05/03/2023,$380.93,225394,$386.10,$386.81,$378.74
05/02/2023,$382.25,178496,$382.07,$385.86,$378.54
05/01/2023,$383.77,105286,$380.27,$385.45,$380.27
04/28/2023,$381.45,174372,$378.20,$382.665,$376.69
04/27/2023,$378.16,191890,$375.32,$379.16,$372.63
04/26/2023,$375.95,246855,$377.08,$380.23,$373.15
04/25/2023,$379.01,166986,$384.00,$385.02,$378.03
04/24/2023,$385.49,179342,$387.20,$388.29,$383.38
04/21/2023,$385.40,212304,$388.20,$388.20,$382.965
04/20/2023,$385.28,312154,$383.52,$386.46,$381.81
04/19/2023,$385.54,200775,$377.34,$385.92,$377.34
04/18/2023,$378.05,224434,$374.76,$378.71,$371.5256
04/17/2023,$371.48,175658,$373.11,$374.99,$369.535
04/14/2023,$373.71,190525,$375.71,$378.78,$371.84
04/13/2023,$377.54,156256,$374.50,$378.605,$372.80
04/12/2023,$372.88,240648,$375.02,$378.925,$371.485
04/11/2023,$371.94,153672,$371.42,$375.125,$371.05
04/10/2023,$370.12,148439,$369.79,$370.13,$366.13
04/06/2023,$372.30,286356,$373.27,$373.965,$366.01
04/05/2023,$373.60,217871,$368.72,$374.19,$365.44
04/04/2023,$370.06,261281,$368.84,$371.50,$367.26
04/03/2023,$368.38,353923,$371.60,$372.28,$366.28
03/31/2023,$373.36,374599,$369.59,$373.91,$368.755
03/30/2023,$367.47,367119,$365.00,$369.27,$363.6239
03/29/2023,$361.82,311295,$357.58,$363.44,$356.63
03/28/2023,$354.80,258774,$355.00,$359.53,$353.82
03/27/2023,$356.59,371040,$357.42,$361.68,$355.25
03/24/2023,$355.02,373188,$345.04,$358.09,$343.865
03/23/2023,$344.96,248664,$345.96,$352.78,$344.351
03/22/2023,$344.53,288740,$349.99,$354.26,$344.13
03/21/2023,$350.83,257539,$346.58,$351.18,$345.02
03/20/2023,$344.51,183550,$341.19,$346.64,$341.19
03/17/2023,$341.50,547198,$345.13,$348.94,$337.04
03/16/2023,$345.29,321992,$335.35,$346.89,$331.29
03/15/2023,$338.63,343318,$332.74,$338.89,$331.14
03/14/2023,$339.14,269675,$339.82,$341.52,$334.04
03/13/2023,$333.96,277350,$323.78,$335.42,$321.93
03/10/2023,$324.78,300006,$334.84,$334.84,$322.62
03/09/2023,$334.84,218944,$337.57,$343.035,$334.10
03/08/2023,$335.30,220372,$333.80,$337.73,$330.68
03/07/2023,$336.34,360508,$345.93,$346.315,$335.08
03/06/2023,$345.99,360520,$351.00,$352.04,$345.99
03/03/2023,$351.81,616598,$345.00,$355.68,$342.1547
03/02/2023,$327.86,391017,$321.01,$328.64,$320.04
03/01/2023,$323.56,438217,$325.29,$329.04,$321.65
02/28/2023,$326.97,1324515,$331.79,$331.79,$322.59
02/27/2023,$332.30,223363,$333.00,$336.19,$330.43
02/24/2023,$330.51,289269,$335.60,$337.55,$328.21
02/23/2023,$340.06,270123,$340.03,$342.68,$334.80
02/22/2023,$338.45,302618,$336.79,$339.555,$332.79
02/21/2023,$337.24,194676,$342.15,$342.15,$335.30
02/17/2023,$345.12,171098,$342.26,$346.51,$339.61
02/16/2023,$343.73,205495,$340.80,$347.65,$337.96
02/15/2023,$346.08,366203,$335.94,$346.61,$335.66
02/14/2023,$337.58,181666,$337.67,$343.81,$335.89
02/13/2023,$338.39,240565,$336.40,$339.81,$335.12
02/10/2023,$335.14,279737,$334.73,$337.13,$331.36
02/09/2023,$335.62,234471,$346.48,$346.48,$334.22
02/08/2023,$344.46,188998,$345.78,$350.3844,$344.24
02/07/2023,$348.94,215403,$344.57,$350.84,$340.32
02/06/2023,$346.44,250412,$349.98,$353.60,$345.05
02/03/2023,$354.49,261438,$356.94,$362.18,$354.145
02/02/2023,$362.53,519829,$360.10,$371.76,$358.23
