Date,Close/Last,Volume,Open,High,Low
11/10/2023,$43.04,409147,$42.00,$43.05,$41.4167
11/09/2023,$41.91,325238,$41.78,$42.28,$41.54
11/08/2023,$41.45,339212,$41.13,$41.55,$40.7621
11/07/2023,$41.01,393296,$41.06,$41.3651,$40.54
11/06/2023,$41.08,587069,$42.14,$42.14,$40.47
11/03/2023,$42.23,664007,$42.20,$43.09,$41.93
11/02/2023,$41.54,1028096,$39.90,$41.68,$37.78
11/01/2023,$41.03,709424,$41.14,$41.27,$40.52
10/31/2023,$41.24,951709,$39.48,$41.48,$39.32
10/30/2023,$39.31,737239,$39.74,$39.81,$39.06
10/27/2023,$39.18,393256,$40.37,$40.37,$39.11
10/26/2023,$40.37,552836,$40.46,$40.46,$39.81
10/25/2023,$40.33,435561,$40.24,$40.68,$39.83
10/24/2023,$40.47,246471,$40.81,$41.1485,$40.40
10/23/2023,$40.58,432687,$40.45,$41.115,$40.41
10/20/2023,$40.70,298383,$41.34,$41.34,$40.49
10/19/2023,$41.40,531581,$42.15,$42.65,$41.15
10/18/2023,$42.38,457032,$43.21,$43.21,$42.2601
10/17/2023,$43.61,440743,$42.63,$43.965,$42.63
10/16/2023,$42.83,269605,$42.03,$43.12,$41.92
10/13/2023,$41.70,369104,$42.55,$42.975,$41.25
10/12/2023,$42.38,587659,$43.93,$44.00,$42.355
10/11/2023,$43.79,288433,$43.64,$44.06,$43.38
10/10/2023,$43.69,497887,$43.04,$43.83,$42.45
10/09/2023,$42.88,513524,$42.02,$43.11,$41.885
10/06/2023,$42.37,579668,$42.08,$42.805,$41.82
10/05/2023,$42.34,510391,$41.99,$42.418,$41.57
10/04/2023,$42.10,621418,$41.92,$42.63,$41.12
10/03/2023,$42.00,999747,$43.13,$43.40,$41.78
10/02/2023,$43.56,676818,$44.70,$44.70,$42.8175
09/29/2023,$44.71,490874,$45.31,$45.59,$44.28
09/28/2023,$45.23,823598,$46.43,$46.43,$44.70
09/27/2023,$46.50,1032833,$45.55,$47.20,$45.55
09/26/2023,$45.03,1767971,$45.31,$46.43,$44.62
09/25/2023,$45.92,1023867,$44.44,$46.35,$44.40
09/22/2023,$44.71,329103,$44.88,$45.24,$44.59
09/21/2023,$44.93,1061181,$45.51,$45.94,$44.67
09/20/2023,$45.62,372604,$45.56,$46.80,$45.46
09/19/2023,$45.28,1106681,$45.14,$45.59,$44.65
09/18/2023,$45.04,296232,$44.84,$45.53,$44.3804
09/15/2023,$44.73,867706,$45.11,$45.60,$44.605
09/14/2023,$45.28,380954,$46.33,$46.435,$45.13
09/13/2023,$46.12,710478,$44.91,$46.18,$44.655
09/12/2023,$44.90,336025,$44.56,$45.11,$43.75
09/11/2023,$44.49,436296,$44.49,$44.71,$44.265
