Date,Close/Last,Volume,Open,High,Low
11/10/2023,$17.37,1968713,$16.90,$17.47,$16.805
11/09/2023,$16.99,3334652,$17.67,$17.7497,$16.945
11/08/2023,$17.46,4758384,$17.94,$18.295,$17.33
11/07/2023,$17.88,13738160,$17.53,$18.305,$16.68
11/06/2023,$16.11,7395173,$15.95,$16.44,$15.66
11/03/2023,$15.75,2407223,$14.91,$15.81,$14.91
11/02/2023,$14.66,2234826,$14.45,$14.70,$14.23
11/01/2023,$14.29,1342503,$14.73,$14.78,$14.15
10/31/2023,$14.76,1402209,$14.55,$14.83,$14.40
10/30/2023,$14.48,1239750,$14.46,$14.83,$14.40
10/27/2023,$14.31,1340325,$14.58,$14.7789,$14.29
10/26/2023,$14.49,1740900,$14.71,$14.90,$14.37
10/25/2023,$14.70,1809051,$15.06,$15.06,$14.58
10/24/2023,$15.25,1573901,$15.07,$15.34,$15.06
10/23/2023,$14.87,1709227,$14.79,$15.23,$14.755
10/20/2023,$14.92,1502647,$15.43,$15.43,$14.92
10/19/2023,$15.51,1770008,$15.77,$15.895,$15.47
10/18/2023,$15.80,1641276,$16.17,$16.21,$15.76
10/17/2023,$16.42,2437432,$16.39,$16.93,$16.32
10/16/2023,$16.29,1493037,$15.78,$16.38,$15.69
10/13/2023,$15.74,1461252,$15.70,$15.83,$15.57
10/12/2023,$15.75,1120610,$16.34,$16.38,$15.71
10/11/2023,$16.18,1074560,$15.93,$16.27,$15.93
10/10/2023,$15.92,1817917,$15.60,$16.04,$15.60
10/09/2023,$15.51,1852360,$15.70,$15.71,$15.43
10/06/2023,$15.97,952991,$15.76,$16.10,$15.71
10/05/2023,$15.88,976397,$15.97,$16.08,$15.685
10/04/2023,$16.01,1149788,$15.84,$16.11,$15.80
10/03/2023,$15.77,2219248,$16.32,$16.43,$15.59
10/02/2023,$16.50,2025280,$16.57,$16.715,$16.35
09/29/2023,$16.58,2698532,$16.76,$16.865,$16.535
09/28/2023,$16.59,2806294,$16.07,$16.64,$16.07
09/27/2023,$16.07,2270133,$15.75,$16.19,$15.75
09/26/2023,$15.67,2185444,$15.75,$16.065,$15.64
09/25/2023,$15.90,1905050,$15.89,$16.105,$15.79
09/22/2023,$16.07,2014285,$15.97,$16.36,$15.89
09/21/2023,$15.88,2169695,$15.94,$16.095,$15.77
09/20/2023,$16.15,2338491,$16.42,$16.465,$16.025
09/19/2023,$16.28,2548939,$16.16,$16.42,$16.14
09/18/2023,$16.15,3276634,$15.83,$16.335,$15.675
09/15/2023,$15.98,23433450,$15.76,$16.34,$15.68
09/14/2023,$15.77,1927239,$15.55,$15.785,$15.44
09/13/2023,$15.38,2439372,$15.42,$15.59,$15.22
09/12/2023,$15.49,2205198,$15.38,$15.675,$15.265
09/11/2023,$15.45,1647833,$15.81,$15.91,$15.44
09/08/2023,$15.67,1964436,$15.50,$15.825,$15.50
09/07/2023,$15.48,2500258,$15.41,$15.535,$15.245
09/06/2023,$15.58,1613998,$15.88,$16.02,$15.435
09/05/2023,$15.99,3881219,$15.54,$16.47,$15.54
09/01/2023,$15.60,1763046,$15.30,$15.615,$15.24
08/31/2023,$15.11,1452567,$15.20,$15.295,$15.11
08/30/2023,$15.15,1722981,$15.36,$15.39,$15.13
08/29/2023,$15.40,1237107,$15.17,$15.44,$15.10
08/28/2023,$15.17,1102574,$15.07,$15.29,$15.04
08/25/2023,$15.00,1633740,$15.01,$15.115,$14.855
08/24/2023,$14.99,1629160,$15.32,$15.37,$14.965
08/23/2023,$15.34,1347969,$15.29,$15.45,$15.20
08/22/2023,$15.24,1381883,$15.51,$15.56,$15.14
08/21/2023,$15.47,1253086,$15.34,$15.555,$15.34
08/18/2023,$15.35,1314285,$15.07,$15.44,$15.04
08/17/2023,$15.36,1704927,$15.34,$15.4525,$15.235
08/16/2023,$15.32,2463155,$14.90,$15.43,$14.90
08/15/2023,$15.02,3568802,$15.76,$15.84,$14.95
08/14/2023,$15.93,2035223,$16.18,$16.215,$15.86
08/11/2023,$16.39,1076046,$16.27,$16.415,$16.20
08/10/2023,$16.34,1546871,$16.63,$16.68,$16.16
08/09/2023,$16.42,2132757,$16.06,$16.565,$16.01
08/08/2023,$16.14,2301274,$15.85,$16.19,$15.635
08/07/2023,$16.09,3196357,$16.32,$16.405,$16.025
08/04/2023,$16.36,3890363,$16.14,$16.765,$15.89
08/03/2023,$16.06,8420724,$16.71,$16.97,$15.855
08/02/2023,$17.62,4625628,$18.05,$18.125,$17.46
08/01/2023,$18.38,3387807,$18.45,$18.49,$17.845
07/31/2023,$18.65,5398254,$18.15,$18.835,$18.13
07/28/2023,$18.11,3656448,$17.68,$18.32,$17.64
07/27/2023,$17.41,1819118,$17.78,$17.99,$17.39
07/26/2023,$17.69,2310737,$17.29,$17.745,$17.28
07/25/2023,$17.28,1698945,$17.40,$17.56,$17.16
07/24/2023,$17.38,1692590,$17.51,$17.595,$17.06
07/21/2023,$17.45,1566139,$17.68,$17.68,$17.23
