Date,Close/Last,Volume,Open,High,Low
11/10/2023,$6.93,2897829,$6.77,$6.93,$6.71
11/09/2023,$6.77,3062363,$7.07,$7.10,$6.75
11/08/2023,$7.00,7892187,$6.68,$7.20,$6.485
11/07/2023,$6.70,3881024,$6.67,$6.88,$6.65
11/06/2023,$6.66,3136255,$6.81,$6.86,$6.65
11/03/2023,$6.82,2752991,$6.71,$6.89,$6.71
11/02/2023,$6.59,2891432,$6.44,$6.59,$6.41
11/01/2023,$6.36,2942287,$6.43,$6.44,$6.17
10/31/2023,$6.43,3259735,$6.32,$6.50,$6.30
10/30/2023,$6.35,3694058,$6.23,$6.37,$6.23
10/27/2023,$6.16,6960102,$6.73,$6.77,$6.16
10/26/2023,$6.73,3566738,$6.71,$6.83,$6.64
10/25/2023,$6.73,1623581,$6.66,$6.835,$6.625
10/24/2023,$6.72,2347968,$6.69,$6.79,$6.605
10/23/2023,$6.65,2841174,$6.70,$6.77,$6.5813
10/20/2023,$6.76,2233482,$6.86,$6.89,$6.7238
10/19/2023,$6.84,3645999,$6.77,$6.995,$6.71
10/18/2023,$6.79,2398371,$6.86,$6.86,$6.7303
10/17/2023,$6.89,4568240,$6.46,$7.00,$6.46
10/16/2023,$6.52,3340316,$6.29,$6.535,$6.24
10/13/2023,$6.21,2426282,$6.17,$6.22,$6.09
10/12/2023,$6.18,2983709,$6.26,$6.285,$6.09
10/11/2023,$6.28,2505931,$6.16,$6.28,$6.16
10/10/2023,$6.14,3476006,$6.28,$6.385,$6.12
10/09/2023,$6.25,1711860,$6.10,$6.28,$6.06
10/06/2023,$6.17,3367620,$6.07,$6.21,$6.00
10/05/2023,$6.11,2162984,$6.11,$6.19,$6.02
10/04/2023,$6.14,2858959,$6.10,$6.16,$6.02
10/03/2023,$6.08,2479222,$6.09,$6.19,$6.02
10/02/2023,$6.23,2970644,$6.36,$6.40,$6.18
09/29/2023,$6.38,3783685,$6.27,$6.46,$6.27
09/28/2023,$6.10,3466458,$5.96,$6.135,$5.91
09/27/2023,$5.97,6180532,$6.00,$6.02,$5.86
09/26/2023,$5.98,6758374,$6.01,$6.07,$5.94
09/25/2023,$6.03,4283849,$6.27,$6.27,$6.03
09/22/2023,$6.31,2849420,$6.39,$6.43,$6.26
09/21/2023,$6.37,3138072,$6.44,$6.48,$6.36
