Date,Close/Last,Volume,Open,High,Low
11/10/2023,$43.45,1597244,$43.37,$43.945,$43.29
11/09/2023,$43.38,2048855,$43.38,$43.74,$43.06
11/08/2023,$43.26,1707217,$43.62,$43.98,$43.18
11/07/2023,$43.63,1522622,$43.46,$43.735,$43.14
11/06/2023,$43.69,1998683,$43.83,$43.95,$43.21
11/03/2023,$43.62,2957131,$43.20,$44.16,$42.22
11/02/2023,$42.70,2717616,$42.90,$43.47,$41.75
11/01/2023,$42.46,6340135,$46.05,$46.37,$41.8922
10/31/2023,$48.90,996909,$48.88,$49.0199,$48.50
10/30/2023,$48.77,902815,$48.31,$48.98,$48.27
10/27/2023,$48.10,877997,$48.43,$48.70,$47.56
10/26/2023,$48.53,826324,$47.90,$48.79,$47.90
10/25/2023,$48.17,924694,$48.19,$48.67,$48.085
10/24/2023,$48.35,664135,$48.66,$48.96,$48.145
10/23/2023,$48.53,916952,$48.96,$49.105,$48.40
10/20/2023,$48.94,1190783,$50.02,$50.215,$48.70
10/19/2023,$50.44,1422545,$51.00,$51.33,$50.35
10/18/2023,$51.19,709920,$51.50,$51.54,$50.95
10/17/2023,$51.67,1763631,$50.80,$52.15,$50.80
10/16/2023,$50.78,1108288,$50.33,$51.065,$50.24
10/13/2023,$49.94,646948,$50.32,$50.73,$49.74
10/12/2023,$50.11,605036,$50.56,$50.56,$49.64
10/11/2023,$50.19,657813,$50.12,$50.53,$49.565
10/10/2023,$50.11,1277067,$50.00,$50.29,$49.71
10/09/2023,$49.84,714781,$49.39,$49.9644,$49.09
10/06/2023,$49.57,851035,$48.50,$49.76,$48.24
10/05/2023,$48.47,828845,$47.89,$48.565,$47.77
10/04/2023,$48.13,929495,$48.06,$48.20,$47.38
10/03/2023,$48.11,916425,$48.85,$48.935,$47.6345
10/02/2023,$49.09,622333,$49.14,$49.18,$48.67
09/29/2023,$49.19,801938,$49.89,$49.94,$49.09
09/28/2023,$49.90,654662,$49.37,$50.03,$49.37
09/27/2023,$49.41,649741,$49.50,$49.56,$48.735
09/26/2023,$49.44,975113,$50.07,$50.27,$49.14
09/25/2023,$50.22,909956,$49.96,$50.36,$49.57
09/22/2023,$49.96,867481,$49.98,$50.08,$49.64
09/21/2023,$49.97,1317043,$49.37,$50.225,$49.27
09/20/2023,$49.13,727889,$49.17,$49.52,$49.09
09/19/2023,$49.15,971743,$48.67,$49.325,$48.59
09/18/2023,$48.44,926891,$48.42,$48.549,$48.15
09/15/2023,$48.53,3735923,$48.40,$48.75,$48.22
09/14/2023,$48.97,1113899,$49.00,$49.25,$48.70
09/13/2023,$48.22,1058021,$48.56,$48.62,$47.82
09/12/2023,$48.51,1179200,$48.56,$49.07,$48.15
09/11/2023,$48.43,1169296,$48.36,$49.19,$48.345
09/08/2023,$48.14,934850,$47.69,$48.48,$47.58
09/07/2023,$47.91,1919596,$48.53,$48.72,$47.63
09/06/2023,$48.59,867979,$48.80,$48.885,$48.205
09/05/2023,$48.87,1037761,$49.38,$49.38,$48.69
09/01/2023,$49.48,904067,$49.50,$49.69,$49.14
08/31/2023,$49.19,963502,$49.27,$49.665,$49.15
08/30/2023,$49.29,747067,$49.58,$49.845,$49.20
08/29/2023,$49.44,832752,$49.41,$49.62,$48.98
08/28/2023,$49.19,426143,$48.98,$49.49,$48.98
08/25/2023,$48.98,748752,$48.90,$49.41,$48.51
08/24/2023,$48.79,769150,$48.20,$49.115,$48.20
08/23/2023,$48.45,646797,$48.49,$48.49,$47.94
08/22/2023,$48.37,648729,$48.95,$49.20,$48.36
08/21/2023,$49.06,781825,$49.11,$49.255,$48.51
08/18/2023,$48.79,1009626,$48.82,$49.21,$48.64
08/17/2023,$49.09,1042317,$49.08,$49.48,$48.94
08/16/2023,$48.81,675404,$48.83,$49.48,$48.79
08/15/2023,$48.93,637903,$48.99,$49.11,$48.73
08/14/2023,$49.42,916094,$49.33,$49.50,$48.91
08/11/2023,$49.25,751018,$48.61,$49.37,$48.61
08/10/2023,$48.60,916469,$49.10,$49.655,$48.51
08/09/2023,$48.95,865813,$49.77,$49.79,$48.79
08/08/2023,$49.71,819212,$49.80,$50.00,$49.48
08/07/2023,$50.40,815347,$50.71,$51.13,$50.241
08/04/2023,$50.32,1133596,$50.48,$51.15,$50.18
08/03/2023,$50.39,1690024,$49.25,$50.47,$49.16
08/02/2023,$49.21,1569855,$48.60,$49.89,$48.60
08/01/2023,$48.63,2046518,$48.71,$48.78,$47.79
07/31/2023,$48.61,1116662,$49.02,$49.13,$48.15
07/28/2023,$48.84,984248,$48.96,$49.20,$48.40
07/27/2023,$48.71,853319,$48.73,$48.81,$48.265
07/26/2023,$48.95,983150,$48.76,$49.25,$48.76
07/25/2023,$48.76,880880,$48.89,$49.07,$48.6739
07/24/2023,$48.92,502697,$48.69,$49.1599,$48.69
07/21/2023,$48.71,690138,$49.33,$49.33,$48.63
07/20/2023,$49.07,695932,$48.61,$49.135,$48.61
07/19/2023,$48.19,1223190,$48.15,$48.84,$48.05
07/18/2023,$48.30,1119595,$48.55,$49.00,$48.28
07/17/2023,$48.49,1129636,$47.26,$48.61,$47.12
07/14/2023,$47.27,954371,$47.74,$47.89,$46.90
07/13/2023,$47.45,1275482,$47.29,$47.625,$47.13
07/12/2023,$47.59,1540646,$48.68,$48.90,$47.55
07/11/2023,$48.48,1398050,$48.60,$49.01,$48.355
07/10/2023,$48.41,1084530,$48.95,$49.01,$48.28
07/07/2023,$49.01,1718104,$48.40,$49.495,$48.40
07/06/2023,$48.29,1052121,$47.65,$48.41,$47.63
07/05/2023,$47.97,996606,$47.51,$48.01,$47.31
07/03/2023,$48.00,636046,$47.69,$48.347,$47.52
06/30/2023,$47.70,979417,$47.70,$48.06,$47.49
06/29/2023,$47.45,848159,$47.25,$47.70,$47.00
06/28/2023,$46.89,888438,$46.79,$47.27,$46.63
06/27/2023,$47.03,1015527,$46.41,$47.15,$46.34
06/26/2023,$46.33,978324,$45.92,$46.695,$45.8822
06/23/2023,$45.78,1405585,$45.85,$46.25,$45.53
06/22/2023,$46.17,1305507,$45.63,$46.49,$45.19
06/21/2023,$45.60,1018554,$45.48,$46.01,$45.18
06/20/2023,$45.55,1107413,$45.16,$45.68,$44.77
06/16/2023,$45.40,2031650,$45.81,$45.83,$45.15
06/15/2023,$45.66,1197101,$45.09,$45.795,$45.09
06/14/2023,$45.24,1138439,$45.94,$46.31,$44.95
06/13/2023,$45.99,917964,$45.45,$46.27,$45.29
06/12/2023,$45.65,759341,$45.32,$45.81,$45.245
06/09/2023,$45.50,706684,$45.47,$45.90,$45.38
06/08/2023,$45.50,838220,$45.44,$45.68,$45.17
06/07/2023,$45.69,1332425,$45.55,$45.83,$44.87
06/06/2023,$45.08,1006455,$44.10,$45.19,$44.10
06/05/2023,$44.07,1114785,$44.50,$44.75,$43.83
06/02/2023,$44.89,1105112,$44.05,$45.16,$43.95
06/01/2023,$43.48,2039167,$43.93,$44.02,$43.23
05/31/2023,$43.45,1797786,$44.49,$44.70,$43.43
05/30/2023,$45.08,1257727,$45.30,$45.59,$44.525
05/26/2023,$45.50,687533,$45.59,$45.86,$45.27
05/25/2023,$45.58,809770,$44.94,$45.67,$44.82
05/24/2023,$44.89,873962,$45.40,$45.40,$44.75
05/23/2023,$45.52,1017810,$46.46,$46.73,$45.49
05/22/2023,$46.49,676295,$46.51,$46.72,$46.225
05/19/2023,$46.35,1219517,$46.87,$46.99,$46.07
05/18/2023,$46.42,1293366,$45.91,$46.545,$45.45
05/17/2023,$45.96,1795331,$44.75,$46.25,$44.70
05/16/2023,$44.54,1613029,$44.67,$45.37,$44.355
05/15/2023,$44.63,1809833,$44.33,$45.17,$44.04
