Date,Close/Last,Volume,Open,High,Low
11/10/2023,$14.90,7166874,$15.00,$15.04,$14.435
11/09/2023,$15.15,5724167,$15.63,$15.77,$15.08
11/08/2023,$15.60,5609865,$15.90,$16.12,$15.46
11/07/2023,$15.99,9272361,$16.07,$16.545,$15.78
11/06/2023,$15.95,9241630,$15.59,$16.08,$15.47
11/03/2023,$15.50,8601522,$15.10,$15.57,$14.95
11/02/2023,$14.81,15590210,$13.30,$14.83,$13.26
11/01/2023,$13.10,29438130,$14.82,$14.86,$12.85
10/31/2023,$14.73,35982450,$16.10,$16.75,$14.425
10/30/2023,$17.12,13613690,$17.19,$17.47,$16.985
10/27/2023,$16.90,9416265,$17.98,$18.07,$16.815
10/26/2023,$17.83,5730941,$17.71,$18.12,$17.609
10/25/2023,$17.95,6219852,$17.81,$18.285,$17.63
10/24/2023,$17.92,9629674,$17.52,$18.25,$17.46
10/23/2023,$17.48,7079905,$17.77,$17.89,$17.24
10/20/2023,$18.02,7454072,$18.62,$18.80,$17.855
10/19/2023,$18.56,8077228,$18.60,$18.90,$18.39
10/18/2023,$18.68,9840712,$18.41,$18.77,$18.17
10/17/2023,$18.45,22739810,$16.15,$18.585,$16.08
10/16/2023,$16.19,6570902,$15.54,$16.37,$15.11
10/13/2023,$15.45,8051451,$15.33,$15.54,$15.14
10/12/2023,$15.30,9266912,$16.11,$16.11,$15.11
10/11/2023,$16.16,6299867,$16.00,$16.37,$15.94
10/10/2023,$16.00,8832310,$15.76,$16.14,$15.65
10/09/2023,$15.65,9674411,$16.08,$16.16,$15.275
10/06/2023,$16.25,6228720,$16.31,$16.41,$15.77
10/05/2023,$16.57,5181492,$16.49,$16.67,$16.25
10/04/2023,$16.59,5565381,$16.39,$16.66,$15.87
10/03/2023,$16.40,9180363,$16.36,$16.515,$16.15
10/02/2023,$16.59,6290280,$17.62,$17.675,$16.56
09/29/2023,$17.67,9165578,$17.00,$17.775,$16.9451
09/28/2023,$16.59,7740690,$16.79,$16.829,$16.355
09/27/2023,$16.91,7260724,$17.14,$17.41,$16.88
09/26/2023,$17.08,9028192,$17.07,$17.35,$17.02
09/25/2023,$17.22,6388387,$17.31,$17.405,$17.085
09/22/2023,$17.47,8565787,$17.78,$17.84,$17.32
09/21/2023,$17.65,8054597,$17.68,$17.98,$17.52
09/20/2023,$17.87,8803637,$17.86,$18.07,$17.72
09/19/2023,$17.78,7988075,$17.31,$17.91,$17.305
09/18/2023,$17.33,12228190,$17.85,$17.85,$17.23
09/15/2023,$18.16,9490324,$18.18,$18.38,$17.95
09/14/2023,$18.11,9649023,$17.90,$18.17,$17.85
09/13/2023,$17.72,7779582,$18.11,$18.13,$17.45
09/12/2023,$18.09,7977893,$17.60,$18.145,$17.38
09/11/2023,$17.67,10626870,$18.83,$18.99,$17.66
09/08/2023,$18.80,5207180,$18.91,$18.96,$18.70
09/07/2023,$19.19,4959067,$19.29,$19.47,$19.135
09/06/2023,$19.59,5607855,$19.41,$19.805,$19.31
09/05/2023,$19.48,7030621,$20.15,$20.37,$19.40
09/01/2023,$20.46,5028544,$20.00,$20.49,$19.91
08/31/2023,$19.76,6795698,$19.505,$19.935,$19.40
08/30/2023,$19.38,3469879,$19.39,$19.50,$19.17
08/29/2023,$19.45,3464448,$19.40,$19.61,$19.26
08/28/2023,$19.24,5603505,$19.05,$19.485,$18.99
08/25/2023,$18.87,10109560,$19.34,$19.47,$18.545
08/24/2023,$19.20,6907574,$19.64,$19.71,$18.95
08/23/2023,$19.70,5342840,$18.68,$19.71,$18.45
08/22/2023,$18.96,7725685,$19.96,$20.02,$18.95
08/21/2023,$20.36,6985701,$20.10,$20.64,$20.03
08/18/2023,$20.01,5404232,$20.04,$20.27,$19.88
08/17/2023,$20.30,4591963,$20.60,$20.67,$20.175
08/16/2023,$20.43,7166331,$19.99,$20.945,$19.94
08/15/2023,$19.97,5684590,$20.09,$20.38,$19.80
08/14/2023,$20.41,5089520,$20.32,$20.62,$20.055
08/11/2023,$20.61,8713331,$20.18,$21.17,$20.11
08/10/2023,$19.98,9242157,$19.33,$20.25,$19.33
08/09/2023,$19.26,4938488,$19.47,$19.93,$19.055
08/08/2023,$19.58,5251938,$18.72,$19.655,$18.61
08/07/2023,$19.06,4437211,$19.47,$19.55,$19.00
08/04/2023,$19.40,5986483,$19.16,$19.94,$18.89
08/03/2023,$19.04,7350967,$18.99,$19.12,$18.305
08/02/2023,$19.05,11105510,$18.83,$19.79,$18.525
08/01/2023,$19.39,8229388,$19.66,$19.75,$19.20
07/31/2023,$19.81,6202771,$19.95,$20.17,$19.61
07/28/2023,$19.69,4032609,$19.75,$19.8192,$19.36
07/27/2023,$19.31,4908468,$19.78,$20.085,$19.22
07/26/2023,$19.67,4231294,$18.93,$19.7294,$18.88
07/25/2023,$18.89,5882212,$19.62,$19.62,$18.815
07/24/2023,$19.52,6398158,$19.49,$19.75,$19.23
07/21/2023,$19.39,6384191,$20.22,$20.2274,$19.27
07/20/2023,$20.00,5882395,$20.42,$20.43,$19.78
07/19/2023,$20.46,7218586,$19.68,$20.59,$19.555
07/18/2023,$19.50,4431240,$19.07,$19.665,$19.01
07/17/2023,$19.11,3968349,$18.88,$19.23,$18.69
07/14/2023,$19.19,4132373,$19.63,$19.74,$18.93
07/13/2023,$19.63,4160403,$19.67,$19.68,$19.39
07/12/2023,$19.53,4474171,$19.67,$19.84,$19.24
07/11/2023,$19.27,5437469,$18.77,$19.445,$18.72
07/10/2023,$18.61,3672971,$18.70,$19.065,$18.545
07/07/2023,$18.66,4146030,$18.47,$19.005,$18.3601
07/06/2023,$18.58,6521841,$18.61,$18.64,$17.845
07/05/2023,$18.97,3982631,$18.96,$19.10,$18.55
07/03/2023,$19.14,2318885,$19.04,$19.37,$19.00
06/30/2023,$19.09,4225877,$19.30,$19.33,$18.76
06/29/2023,$19.20,5349013,$18.77,$19.35,$18.76
06/28/2023,$18.79,5145410,$19.04,$19.14,$18.60
06/27/2023,$19.13,4614553,$18.63,$19.31,$18.31
06/26/2023,$18.44,5162910,$18.20,$18.84,$18.06
06/23/2023,$18.23,9118213,$18.54,$18.72,$18.11
06/22/2023,$18.94,6253473,$19.13,$19.28,$18.57
06/21/2023,$19.13,6454815,$19.50,$19.7298,$19.12
06/20/2023,$19.73,8961643,$19.64,$19.99,$19.38
06/16/2023,$19.51,9335393,$19.51,$19.66,$19.2105
06/15/2023,$19.35,5837990,$19.07,$19.41,$18.88
06/14/2023,$19.27,4758929,$19.23,$19.65,$19.02
06/13/2023,$19.06,4674220,$19.29,$19.3291,$18.91
06/12/2023,$19.13,4906572,$19.24,$19.64,$18.96
06/09/2023,$19.11,4864267,$19.42,$19.60,$18.905
06/08/2023,$19.61,8932061,$19.74,$20.00,$19.335
06/07/2023,$19.59,9254597,$19.26,$19.72,$19.10
06/06/2023,$19.09,11413750,$17.96,$19.52,$17.96
06/05/2023,$17.92,6978424,$18.13,$18.49,$17.755
06/02/2023,$18.12,10185230,$17.50,$18.17,$17.41
06/01/2023,$17.02,7480709,$17.25,$17.32,$16.7739
05/31/2023,$17.22,9892436,$17.45,$17.49,$16.96
05/30/2023,$17.58,9166987,$18.17,$18.25,$17.44
05/26/2023,$18.05,8857065,$17.50,$18.40,$17.50
05/25/2023,$17.45,11592410,$18.34,$18.58,$17.43
05/24/2023,$18.35,15034840,$19.32,$19.53,$18.035
05/23/2023,$18.97,10466520,$19.26,$19.7496,$18.94
05/22/2023,$19.56,10691870,$18.86,$19.575,$18.535
05/19/2023,$19.07,16214440,$20.23,$20.49,$18.78
05/18/2023,$20.77,5008771,$21.01,$21.01,$20.38
05/17/2023,$20.68,5560384,$20.42,$20.88,$20.19
05/16/2023,$20.60,4890391,$21.35,$21.45,$20.59
05/15/2023,$21.66,4643680,$21.41,$21.825,$21.31
05/12/2023,$21.29,4095129,$21.42,$21.51,$20.97
05/11/2023,$21.49,4607514,$21.41,$21.765,$21.235
05/10/2023,$21.39,7240615,$22.54,$22.63,$21.04
