Date,Close/Last,Volume,Open,High,Low
11/10/2023,$38.23,2039898,$37.92,$38.28,$37.845
11/09/2023,$38.40,2217717,$38.20,$38.57,$37.84
11/08/2023,$37.43,1638472,$37.75,$37.75,$37.31
11/07/2023,$37.50,2425700,$37.62,$37.95,$37.49
11/06/2023,$37.83,1790852,$37.90,$38.04,$37.65
11/03/2023,$37.85,1309862,$37.47,$38.05,$37.46
11/02/2023,$36.95,2127974,$36.92,$37.24,$36.72
11/01/2023,$36.19,1808796,$36.32,$36.70,$36.03
10/31/2023,$35.93,1779031,$35.58,$36.29,$35.58
10/30/2023,$35.43,1189949,$35.50,$35.735,$35.38
10/27/2023,$35.20,1588667,$35.28,$35.83,$35.05
10/26/2023,$35.24,1962530,$34.76,$35.54,$34.60
10/25/2023,$34.63,1320986,$34.53,$34.92,$34.495
10/24/2023,$34.72,1743368,$34.51,$34.86,$34.415
10/23/2023,$33.77,2195296,$34.08,$34.455,$33.53
10/20/2023,$34.32,3301833,$35.38,$35.48,$34.06
10/19/2023,$35.34,2835055,$36.57,$36.80,$35.32
10/18/2023,$37.14,2480245,$37.75,$38.20,$36.805
10/17/2023,$37.15,1707409,$36.57,$37.20,$36.55
10/16/2023,$37.03,1508099,$36.86,$37.16,$36.8097
10/13/2023,$36.94,1758726,$37.00,$37.17,$36.69
10/12/2023,$36.79,2123149,$37.20,$37.29,$36.655
10/11/2023,$37.28,2433334,$37.08,$37.32,$36.86
10/10/2023,$36.98,2117586,$36.98,$37.36,$36.85
10/09/2023,$36.41,1416004,$35.90,$36.47,$35.845
10/06/2023,$36.06,3067364,$36.16,$36.67,$36.04
10/05/2023,$35.87,3489127,$36.29,$36.7101,$35.84
10/04/2023,$36.41,4405190,$36.20,$36.46,$35.95
10/03/2023,$35.58,3944630,$34.99,$35.655,$34.95
10/02/2023,$35.61,4543410,$35.52,$35.92,$35.41
09/29/2023,$35.80,3005412,$36.32,$36.41,$35.665
09/28/2023,$36.19,1986828,$35.82,$36.29,$35.62
09/27/2023,$35.75,2346240,$35.74,$36.03,$35.47
09/26/2023,$35.65,3635751,$35.86,$36.13,$35.55
09/25/2023,$35.94,3099313,$35.29,$36.215,$35.20
09/22/2023,$35.24,3297411,$35.33,$35.86,$35.18
09/21/2023,$35.15,2790385,$35.62,$35.83,$35.11
09/20/2023,$35.53,5787821,$36.65,$36.79,$35.525
09/19/2023,$36.89,4901958,$37.35,$37.54,$36.76
09/18/2023,$36.54,4117893,$36.66,$36.95,$36.45
09/15/2023,$36.53,5720864,$36.86,$37.39,$36.53
09/14/2023,$36.82,8124032,$36.70,$37.04,$36.28
09/13/2023,$35.77,8255321,$35.34,$36.10,$35.19
09/12/2023,$35.00,15031120,$36.16,$36.5296,$34.9647
09/11/2023,$34.06,3194162,$34.76,$34.90,$34.05
09/08/2023,$34.57,5928740,$32.39,$34.66,$32.39
09/07/2023,$33.23,9582525,$33.75,$34.05,$32.94
09/06/2023,$31.88,2421704,$31.95,$32.505,$31.795
09/05/2023,$32.05,1547646,$32.64,$32.74,$32.01
09/01/2023,$32.85,1332347,$32.90,$33.20,$32.815
08/31/2023,$32.71,1814969,$32.62,$32.74,$32.435
08/30/2023,$32.49,1089220,$32.67,$32.78,$32.435
08/29/2023,$32.76,1390975,$32.42,$32.77,$32.32
08/28/2023,$32.31,1801112,$32.02,$32.5599,$31.99
08/25/2023,$31.77,1299361,$31.84,$32.00,$31.55
08/24/2023,$31.66,1678710,$32.01,$32.31,$31.645
08/23/2023,$32.07,1708408,$31.75,$32.16,$31.64
08/22/2023,$31.65,1514633,$31.54,$31.77,$31.355
08/21/2023,$31.52,1604704,$32.01,$32.01,$31.235
08/18/2023,$32.11,1777259,$31.98,$32.51,$31.93
08/17/2023,$32.46,1672142,$32.67,$32.887,$32.33
