Date,Close/Last,Volume,Open,High,Low
11/10/2023,$11.75,2375051,$11.70,$11.78,$11.63
11/09/2023,$11.69,4451572,$11.75,$11.80,$11.68
11/08/2023,$11.74,5288442,$11.68,$11.855,$11.68
11/07/2023,$11.72,5137922,$11.70,$11.8022,$11.655
11/06/2023,$11.68,5234757,$11.78,$11.84,$11.675
11/03/2023,$11.74,7287120,$11.80,$11.95,$11.74
11/02/2023,$11.67,3760360,$11.56,$11.67,$11.39
11/01/2023,$11.40,3825425,$11.33,$11.515,$11.265
10/31/2023,$11.29,5179998,$10.99,$11.37,$10.98
10/30/2023,$10.97,10310680,$11.50,$11.58,$10.92
10/27/2023,$11.36,9109260,$11.73,$11.90,$11.19
10/26/2023,$11.67,13530000,$12.74,$12.74,$11.365
10/25/2023,$12.93,5835379,$13.13,$13.22,$12.74
10/24/2023,$13.28,6152874,$13.31,$13.50,$13.205
10/23/2023,$13.25,4366941,$13.15,$13.365,$13.105
10/20/2023,$13.22,3287077,$13.205,$13.32,$13.15
10/19/2023,$13.24,4031071,$13.22,$13.45,$13.20
10/18/2023,$13.25,3442568,$13.29,$13.39,$13.20
10/17/2023,$13.37,3423084,$13.23,$13.41,$13.22
10/16/2023,$13.21,3160450,$13.20,$13.355,$13.185
10/13/2023,$13.15,4647559,$13.09,$13.28,$13.06
10/12/2023,$13.09,7105856,$13.28,$13.30,$13.035
10/11/2023,$13.12,3503895,$13.10,$13.27,$13.05
10/10/2023,$13.08,4068863,$13.16,$13.245,$13.02
10/09/2023,$13.16,2978838,$13.16,$13.30,$13.065
10/06/2023,$13.19,3520612,$13.11,$13.34,$13.092
10/05/2023,$13.11,2708702,$13.15,$13.28,$13.0681
10/04/2023,$13.19,4729923,$13.03,$13.20,$12.94
10/03/2023,$12.96,4150811,$13.06,$13.25,$12.86
10/02/2023,$13.13,4716163,$13.15,$13.26,$12.94
09/29/2023,$13.18,5286433,$13.49,$13.53,$13.16
09/28/2023,$13.45,7658531,$13.06,$13.54,$13.06
09/27/2023,$13.07,4531085,$12.98,$13.135,$12.905
09/26/2023,$12.97,5244092,$13.12,$13.195,$12.97
09/25/2023,$13.16,3907496,$12.99,$13.19,$12.945
09/22/2023,$13.05,5224746,$12.99,$13.125,$12.97
09/21/2023,$12.93,4091575,$12.89,$13.015,$12.855
09/20/2023,$12.96,4544181,$12.82,$13.02,$12.78
09/19/2023,$12.75,3303543,$12.72,$12.875,$12.685
09/18/2023,$12.69,2628164,$12.62,$12.715,$12.53
09/15/2023,$12.63,7110292,$12.67,$12.825,$12.60
09/14/2023,$12.72,3262708,$12.55,$12.75,$12.52
09/13/2023,$12.68,4879903,$13.07,$13.09,$12.665
09/12/2023,$13.05,5497045,$12.87,$13.18,$12.86
09/11/2023,$12.87,5808740,$12.83,$12.995,$12.7925
09/08/2023,$12.78,6358083,$12.69,$12.86,$12.67
09/07/2023,$12.66,8927108,$12.61,$12.77,$12.56
09/06/2023,$12.65,6677297,$12.47,$12.73,$12.45
09/05/2023,$12.52,6697048,$12.40,$12.57,$12.265
09/01/2023,$12.49,2415906,$12.41,$12.56,$12.41
08/31/2023,$12.35,2637719,$12.32,$12.38,$12.245
08/30/2023,$12.28,2328590,$12.24,$12.30,$12.2008
08/29/2023,$12.23,3620215,$12.21,$12.315,$12.16
08/28/2023,$12.17,2189888,$11.98,$12.19,$11.98
08/25/2023,$11.93,2002854,$11.99,$12.04,$11.87
08/24/2023,$11.92,4216035,$11.91,$12.07,$11.84
08/23/2023,$11.92,1934113,$11.84,$11.92,$11.81
08/22/2023,$11.82,2258909,$11.74,$11.83,$11.70
08/21/2023,$11.69,2089080,$11.74,$11.805,$11.61
08/18/2023,$11.77,4910327,$11.57,$11.80,$11.56
08/17/2023,$11.67,2741895,$11.69,$11.775,$11.60
08/16/2023,$11.66,3388260,$11.62,$11.77,$11.57
08/15/2023,$11.62,4514728,$11.53,$11.68,$11.51
08/14/2023,$11.60,3743797,$11.84,$11.84,$11.55
08/11/2023,$11.88,2717142,$11.92,$11.985,$11.845
08/10/2023,$12.03,6222402,$11.86,$12.31,$11.835
08/09/2023,$11.81,3847197,$11.75,$11.86,$11.72
08/08/2023,$11.72,5141552,$11.79,$11.82,$11.695
08/07/2023,$11.94,4180690,$12.00,$12.045,$11.86
08/04/2023,$11.94,3113784,$11.92,$12.02,$11.87
08/03/2023,$11.89,3651748,$11.93,$11.99,$11.76
08/02/2023,$11.99,3771553,$12.01,$12.01,$11.80
08/01/2023,$12.14,3258554,$12.13,$12.18,$11.945
07/31/2023,$12.18,5658327,$12.00,$12.255,$12.00
07/28/2023,$12.00,8513185,$12.49,$12.505,$11.97
07/27/2023,$12.34,12234360,$12.90,$13.34,$12.21
07/26/2023,$12.44,4892474,$12.43,$12.615,$12.31
07/25/2023,$12.48,4475368,$12.61,$12.63,$12.42
07/24/2023,$12.62,4839999,$12.22,$12.66,$12.2134
07/21/2023,$12.19,3273647,$12.30,$12.30,$12.13
07/20/2023,$12.26,3843672,$12.30,$12.385,$12.215
07/19/2023,$12.33,5416347,$12.23,$12.385,$12.17
07/18/2023,$12.15,2393146,$12.06,$12.23,$12.03
07/17/2023,$12.05,2129319,$12.02,$12.135,$12.015
07/14/2023,$12.09,3239472,$12.23,$12.23,$11.93
07/13/2023,$12.24,5220436,$11.93,$12.30,$11.92
07/12/2023,$11.89,2610783,$11.95,$12.00,$11.855
07/11/2023,$11.82,2709542,$11.69,$11.88,$11.67
07/10/2023,$11.64,3754093,$11.51,$11.68,$11.46
07/07/2023,$11.54,5608056,$11.31,$11.59,$11.28
07/06/2023,$11.32,5282392,$11.59,$11.59,$11.28
07/05/2023,$11.68,3777955,$11.67,$11.73,$11.595
07/03/2023,$11.72,1956268,$11.73,$11.86,$11.70
06/30/2023,$11.73,2920101,$11.69,$11.74,$11.62
06/29/2023,$11.62,2644393,$11.59,$11.645,$11.53
06/28/2023,$11.49,3540190,$11.50,$11.50,$11.32
06/27/2023,$11.53,3670315,$11.31,$11.55,$11.265
06/26/2023,$11.28,4449793,$11.33,$11.41,$11.23
06/23/2023,$11.35,5301864,$11.37,$11.395,$11.255
06/22/2023,$11.41,3872154,$11.47,$11.50,$11.285
06/21/2023,$11.51,4925566,$11.61,$11.655,$11.49
06/20/2023,$11.66,7388269,$11.50,$11.7687,$11.48
06/16/2023,$11.55,19769370,$11.61,$11.65,$11.45
06/15/2023,$11.63,4999253,$11.53,$11.64,$11.365
06/14/2023,$11.81,7470366,$11.81,$12.105,$11.73
06/13/2023,$11.80,6073495,$11.78,$12.00,$11.73
06/12/2023,$11.73,4461656,$11.68,$11.96,$11.64
06/09/2023,$11.80,2659552,$11.77,$11.83,$11.67
06/08/2023,$11.78,4693324,$12.21,$12.21,$11.775
06/07/2023,$12.17,7420891,$11.90,$12.22,$11.85
06/06/2023,$11.83,3374868,$11.64,$11.87,$11.62
06/05/2023,$11.68,3956342,$11.79,$11.725,$11.53
06/02/2023,$11.81,6104322,$11.66,$11.87,$11.60
06/01/2023,$11.54,3970780,$11.46,$11.64,$11.35
05/31/2023,$11.39,7231592,$11.47,$11.515,$11.275
05/30/2023,$11.56,3654864,$11.71,$11.75,$11.45
05/26/2023,$11.71,3707869,$11.65,$11.80,$11.45
05/25/2023,$11.64,4022310,$11.74,$11.82,$11.53
05/24/2023,$11.79,4869824,$12.05,$12.09,$11.79
05/23/2023,$12.11,3926120,$12.29,$12.32,$12.10
05/22/2023,$12.27,6107496,$12.26,$12.39,$12.18
05/19/2023,$12.22,5483092,$12.47,$12.47,$12.14
05/18/2023,$12.45,3892701,$12.29,$12.48,$12.215
05/17/2023,$12.35,5834673,$12.09,$12.41,$12.02
05/16/2023,$12.00,5073924,$12.23,$12.37,$11.99
05/15/2023,$12.24,8254182,$11.82,$12.38,$11.77
05/12/2023,$11.77,5252198,$11.99,$12.00,$11.76
05/11/2023,$11.96,5028348,$11.95,$12.12,$11.87
05/10/2023,$12.01,9918342,$12.32,$12.38,$11.93
05/09/2023,$12.25,7557245,$12.21,$12.33,$12.19
05/08/2023,$12.25,7298609,$12.20,$12.37,$12.11
05/05/2023,$12.15,9035648,$12.13,$12.25,$11.94
05/04/2023,$12.01,9350607,$11.60,$12.14,$11.5514
05/03/2023,$11.65,14371040,$11.01,$11.98,$10.94
05/02/2023,$10.61,9952939,$10.80,$10.84,$10.37
05/01/2023,$10.87,6018291,$10.88,$10.97,$10.67
04/28/2023,$10.93,5278679,$10.77,$10.96,$10.70
04/27/2023,$10.78,4783104,$10.62,$10.79,$10.615
04/26/2023,$10.65,4127034,$10.72,$10.83,$10.58
04/25/2023,$10.72,3641799,$10.85,$10.86,$10.70
04/24/2023,$10.88,3226370,$10.88,$10.95,$10.81
04/21/2023,$10.86,7772540,$10.92,$10.94,$10.76
04/20/2023,$10.91,6330122,$10.85,$10.96,$10.79
04/19/2023,$10.89,5920571,$11.03,$11.03,$10.82
04/18/2023,$11.04,4982832,$11.20,$11.305,$10.945
04/17/2023,$11.21,5799686,$11.04,$11.255,$11.01
04/14/2023,$11.09,4882818,$11.25,$11.315,$11.00
04/13/2023,$11.19,4344985,$11.13,$11.25,$11.085
04/12/2023,$11.11,5079250,$11.31,$11.44,$11.105
04/11/2023,$11.30,4043689,$11.14,$11.35,$11.12
04/10/2023,$11.07,3648872,$11.04,$11.205,$10.95
04/06/2023,$11.03,6704961,$10.96,$11.18,$10.955
04/05/2023,$10.87,9525571,$10.74,$10.965,$10.61
04/04/2023,$10.87,9059950,$11.16,$11.20,$10.74
04/03/2023,$11.06,10090800,$11.19,$11.28,$11.00
03/31/2023,$11.15,9055070,$11.23,$11.23,$11.065
03/30/2023,$11.04,11574560,$11.20,$11.24,$10.96
03/29/2023,$11.05,5697363,$11.10,$11.11,$10.98
03/28/2023,$11.00,4989098,$10.85,$11.06,$10.80
03/27/2023,$10.86,6454102,$11.01,$11.07,$10.835
03/24/2023,$10.86,6438858,$10.69,$10.89,$10.595
03/23/2023,$10.83,8821594,$10.80,$11.04,$10.755
03/22/2023,$10.81,7793211,$11.19,$11.23,$10.79
03/21/2023,$11.09,13299290,$11.11,$11.32,$11.00
03/20/2023,$11.06,10341010,$10.96,$11.20,$10.785
03/17/2023,$10.76,39088010,$10.72,$10.79,$10.535
03/16/2023,$10.72,16057870,$10.25,$10.85,$10.21
