Date,Close/Last,Volume,Open,High,Low
11/10/2023,$13.36,1100278,$13.14,$13.40,$13.05
11/09/2023,$13.09,1247475,$13.37,$13.37,$13.025
11/08/2023,$13.30,1746210,$13.52,$13.52,$13.19
11/07/2023,$13.48,1573253,$13.61,$13.65,$13.38
11/06/2023,$13.70,1563669,$14.05,$14.10,$13.59
11/03/2023,$13.99,2305901,$13.71,$14.06,$13.71
11/02/2023,$13.49,2619732,$13.20,$13.51,$13.20
11/01/2023,$13.08,2350496,$12.87,$13.15,$12.81
10/31/2023,$12.84,2741351,$12.27,$12.945,$12.245
10/30/2023,$12.27,1668053,$12.29,$12.47,$12.17
10/27/2023,$12.19,1836097,$12.30,$12.35,$12.14
10/26/2023,$12.24,2723320,$12.10,$12.53,$12.10
10/25/2023,$12.095,3177147,$12.62,$13.068,$12.06
10/24/2023,$12.56,6121668,$13.83,$13.90,$12.13
10/23/2023,$13.48,1960952,$13.75,$13.835,$13.48
10/20/2023,$13.74,1413701,$14.06,$14.15,$13.74
10/19/2023,$14.02,1588531,$14.30,$14.425,$14.00
10/18/2023,$14.33,890409,$14.38,$14.53,$14.26
10/17/2023,$14.58,1538531,$14.235,$14.66,$14.235
10/16/2023,$14.42,1843983,$14.42,$14.605,$14.325
10/13/2023,$14.31,1562096,$14.45,$14.615,$14.20
10/12/2023,$14.47,1298442,$14.95,$14.96,$14.41
10/11/2023,$15.00,1434200,$14.99,$15.11,$14.915
10/10/2023,$14.99,1682144,$15.02,$15.30,$14.945
10/09/2023,$15.13,1136909,$14.98,$15.27,$14.825
10/06/2023,$15.08,1954000,$15.27,$15.42,$15.05
10/05/2023,$15.32,1558421,$15.19,$15.485,$15.15
10/04/2023,$15.43,1362762,$15.22,$15.605,$15.125
10/03/2023,$15.23,1700375,$15.40,$15.67,$15.21
10/02/2023,$15.51,2250650,$15.66,$15.78,$15.48
09/29/2023,$15.69,1798136,$16.01,$16.24,$15.68
09/28/2023,$16.01,2818743,$15.67,$16.20,$15.32
09/27/2023,$15.84,985650,$16.05,$16.11,$15.78
09/26/2023,$15.88,1390752,$15.85,$16.01,$15.75
09/25/2023,$15.89,891346,$16.00,$16.17,$15.87
09/22/2023,$16.09,963778,$16.31,$16.42,$16.045
09/21/2023,$16.34,1725278,$16.20,$16.53,$16.16
09/20/2023,$16.22,1170248,$16.19,$16.535,$16.1713
09/19/2023,$16.08,1164835,$15.85,$16.225,$15.85
09/18/2023,$15.78,1645505,$16.01,$16.035,$15.42
09/15/2023,$16.06,21899780,$15.99,$16.292,$15.90
09/14/2023,$16.06,1424225,$15.73,$16.08,$15.71
09/13/2023,$15.63,1995429,$16.30,$16.39,$15.505
09/12/2023,$16.22,1504220,$16.78,$16.87,$16.205
09/11/2023,$16.83,1544724,$16.89,$17.20,$16.80
09/08/2023,$16.73,1313255,$16.69,$16.96,$16.65
09/07/2023,$16.68,1514928,$16.82,$16.95,$16.62
09/06/2023,$16.96,1515838,$16.90,$16.989,$16.75
09/05/2023,$16.94,3273735,$16.54,$17.39,$16.435
09/01/2023,$16.48,1314558,$16.05,$16.57,$16.05
08/31/2023,$15.89,1629493,$15.89,$16.165,$15.865
08/30/2023,$15.86,1620163,$15.84,$15.98,$15.63
08/29/2023,$16.00,1044090,$15.91,$16.07,$15.81
08/28/2023,$15.91,995252,$15.63,$15.945,$15.63
08/25/2023,$15.54,1016349,$15.53,$15.64,$15.30
08/24/2023,$15.48,962946,$15.47,$15.72,$15.41
08/23/2023,$15.54,1060326,$15.40,$15.65,$15.33
08/22/2023,$15.41,1363369,$15.57,$15.71,$15.365
08/21/2023,$15.42,1042477,$15.18,$15.45,$15.18
08/18/2023,$15.17,1119098,$14.96,$15.28,$14.9542
08/17/2023,$15.13,1135174,$14.89,$15.17,$14.84
08/16/2023,$14.79,940718,$15.03,$15.18,$14.77
08/15/2023,$15.13,885273,$15.11,$15.25,$15.07
08/14/2023,$15.27,814015,$15.38,$15.43,$15.14
08/11/2023,$15.46,1056727,$15.45,$15.55,$15.35
08/10/2023,$15.52,733490,$15.63,$15.815,$15.42
08/09/2023,$15.53,1249197,$15.64,$15.705,$15.385
08/08/2023,$15.69,1072205,$15.34,$15.75,$15.22
08/07/2023,$15.51,856606,$15.72,$15.835,$15.405
08/04/2023,$15.58,1119734,$15.54,$15.83,$15.40
08/03/2023,$15.54,1294132,$15.77,$15.82,$15.4523
08/02/2023,$15.77,1127491,$15.53,$15.89,$15.455
08/01/2023,$15.68,1037075,$15.86,$16.085,$15.569
07/31/2023,$15.98,1600857,$15.98,$16.27,$15.80
07/28/2023,$15.92,1295558,$16.30,$16.37,$15.855
07/27/2023,$16.14,1483748,$16.94,$16.97,$16.02
07/26/2023,$16.79,2096739,$16.36,$16.83,$16.28
07/25/2023,$16.36,4401687,$15.58,$17.18,$15.52
07/24/2023,$15.50,1700394,$15.43,$15.815,$15.385
07/21/2023,$15.40,1098812,$15.62,$15.68,$15.3412
07/20/2023,$15.52,1139178,$15.77,$15.79,$15.45
07/19/2023,$15.77,1550433,$16.03,$16.0499,$15.725
07/18/2023,$15.90,1156647,$15.66,$16.00,$15.62
07/17/2023,$15.72,756214,$15.63,$15.78,$15.43
07/14/2023,$15.62,1003434,$16.05,$16.079,$15.395
07/13/2023,$16.09,1367555,$16.17,$16.305,$16.075
07/12/2023,$16.07,1772184,$16.32,$16.40,$15.935
07/11/2023,$16.07,1727691,$15.70,$16.14,$15.47
07/10/2023,$15.46,2022377,$15.03,$15.67,$15.00
07/07/2023,$15.10,1846872,$14.72,$15.185,$14.71
07/06/2023,$14.65,1043276,$14.57,$14.74,$14.39
07/05/2023,$14.75,1329607,$14.84,$14.95,$14.57
07/03/2023,$15.04,423253,$14.84,$15.05,$14.8322
06/30/2023,$14.89,1420754,$15.03,$15.12,$14.79
06/29/2023,$14.85,1877441,$14.09,$14.86,$14.05
06/28/2023,$14.27,2075482,$14.42,$14.42,$14.15
06/27/2023,$14.46,1883858,$14.27,$14.555,$14.21
06/26/2023,$14.27,971437,$14.27,$14.50,$14.23
06/23/2023,$14.19,2912486,$14.38,$14.525,$14.025
06/22/2023,$14.59,1762800,$14.44,$14.71,$14.31
06/21/2023,$14.51,1639464,$14.47,$14.75,$14.39
06/20/2023,$14.48,1978169,$15.19,$15.19,$14.35
06/16/2023,$14.99,3753065,$15.25,$15.30,$14.55
06/15/2023,$15.35,2671619,$15.61,$15.75,$15.33
06/14/2023,$15.63,1824107,$15.77,$16.02,$15.60
06/13/2023,$15.80,1629015,$15.39,$15.885,$15.30
06/12/2023,$15.24,1199832,$15.09,$15.38,$15.005
06/09/2023,$15.09,821075,$15.16,$15.375,$14.99
06/08/2023,$15.15,1168460,$15.44,$15.44,$15.045
06/07/2023,$15.38,1749991,$14.63,$15.44,$14.57
